 拎包入住,AI影音,免服務費,免管理費,南北通透,可入籍,可報稅,可短租,可開伙,可養寵物,押一付一,新上架,有車位,有陽台,有電梯,社會住宅,租金補貼,隨時可遷入,高齡友善,ping,addr,Rent,type,title,lat,lng,cluster,title_clean,title_tokens,可租補,陽台
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,8.0,台北市文山區羅斯福路六段,11500,2,可租補～交通方便一卡皮箱入住～限女性,24.994496793815,121.541112282616,5,可租補 交通方便一卡皮箱入住 限女性,"['可租補', ' ', '交通', '方便', '一卡', '皮箱', '入住', ' ', '限', '女性']",1,0
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,5.0,台北市文山區景華街82巷3號,12500,2,限女性～獨立廚房可開伙～有對外窗住戶單純,24.994984215589,121.545360955198,5,限女性 獨立廚房可開伙 有對外窗住戶單純,"['限', '女性', ' ', '獨立', '廚房', '可', '開伙', ' ', '有', '對', '外窗', '住戶', '單純']",0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.0,台北市文山區景興路114巷,6000,1,"雅房,限男性,磚牆隔間,近捷運.市場。",24.99376911204,121.544094659176,5,雅房 限男性 磚牆隔間 近捷運 市場,"['雅房', ' ', '限', '男性', ' ', '磚牆', '隔間', ' ', '近捷運', ' ', '市場']",0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.0,台北市文山區興德路64巷,8000,2,辛亥捷運、中國科大溫馨套房,25.0032598185,121.557999386719,3,辛亥捷運 中國科大溫馨套房,"['辛亥', '捷運', ' ', '中國', '科大', '溫馨', '套房']",0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,台北市文山區羅斯福路六段,8300,2,單純單人套房生活機能優房間廁所皆有對外窗,24.994496793815,121.541112282616,5,單純單人套房生活機能優房間廁所皆有對外窗,"['單純', '單人', '套房', '生活', '機能', '優房間', '廁所', '皆', '有', '對', '外窗']",0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,台北市文山區育英街,7000,1,景美捷運適女性共住,24.991494658842,121.538334433597,15,景美捷運適女性共住,"['景美', '捷運適', '女性', '共住']",0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.0,台北市文山區興隆路三段221巷4弄4號,8000,4,2大雅房分租寬敞舒適全新衛浴裝潢,24.994051309765,121.560278563555,10,2大雅房分租寬敞舒適全新衛浴裝潢,"['2', '大雅', '房', '分租', '寬敞', '舒適', '全新', '衛浴', '裝潢']",0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21.0,台北市文山區忠順街一段26巷13弄,18000,4,木柵2房-一年起租光線明亮✔空間寬敞✔小資首選,24.982803010057,121.55962852013,4,木柵2房 一年起租光線明亮 空間寬敞 小資首選,"['木柵', '2', '房', ' ', '一年', '起租', '光線', '明亮', ' ', '空間', '寬', '敞', ' ', '小資', '首選']",0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,10.0,台北市文山區木柵路四段137號,16500,4,木柵捷運站“信義18”套房分租,24.998781888279,121.573380400228,1,木柵捷運站 信義18 套房分租,"['木柵捷', '運站', ' ', '信義', '18', ' ', '套房', '分租']",0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.0,台北市文山區興隆路三段221巷4弄4號,8000,4,2大雅房分租寬敞舒適全新衛浴裝潢,24.994051309765,121.560278563555,10,2大雅房分租寬敞舒適全新衛浴裝潢,"['2', '大雅', '房', '分租', '寬敞', '舒適', '全新', '衛浴', '裝潢']",0,0
